"anio","mes_referencia","ambito_geografico","pensionistas_personas","pensionistas_millones","estado_dato","fuente","metodo","cobertura","edad_ordinaria_referencia_aplicada","poblacion_edad_ordinaria_o_mas_personas","ratio_pensionistas_sobre_poblacion_edad_ordinaria_o_mas","nota"
"1985","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1986","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1987","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1988","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1989","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1990","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1991","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1992","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1993","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1994","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1995","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1996","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1997","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1998","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1999","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2000","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2001","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2002","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2003","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2004","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2005","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"2006","Diciembre","Espana","7494385","7.494385","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2007","Diciembre","Espana","7586574","7.586574","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2008","Diciembre","Espana","7700749","7.700749","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2009","Diciembre","Espana","7826416","7.826416","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2010","Diciembre","Espana","7948463","7.948463","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2011","Diciembre","Espana","8061785","8.061785","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2012","Diciembre","Espana","8182112","8.182112","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2013","Diciembre","Espana","8315826","8.315826","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2014","Diciembre","Espana","8428617","8.428617","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2015","Diciembre","Espana","8508482","8.508482","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2016","Diciembre","Espana","8609085","8.609085","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2017","Diciembre","Espana","8705707","8.705707","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2018","Diciembre","Espana","8806744","8.806744","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2019","Diciembre","Espana","8897902","8.897902","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2020","Diciembre","Espana","8899064","8.899064","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2021","Diciembre","Espana","8990513","8.990513","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2022","Diciembre","Espana","9053550","9.05355","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2023","Diciembre","Espana","9154513","9.154513","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2024","Diciembre","Espana","9304060","9.30406","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2025","Diciembre","Espana","9438579","9.438579","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2026","Abril","Espana","9476277","9.476277","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2027","1 de enero","Espana","9728519","9.728519","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","9438889","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2028","1 de enero","Espana","9991149","9.991149","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","9693701","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2029","1 de enero","Espana","10244006","10.244006","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","9939030","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2030","1 de enero","Espana","10503719","10.503719","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","10191011","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2031","1 de enero","Espana","10776601","10.776601","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","10455769","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2032","1 de enero","Espana","11075521","11.075521","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","10745790","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2033","1 de enero","Espana","11357120","11.35712","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","11019005","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2034","1 de enero","Espana","11636900","11.6369","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","11290456","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2035","1 de enero","Espana","11926429","11.926429","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","11571365","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2036","1 de enero","Espana","12203721","12.203721","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","11840402","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
"2037","1 de enero","Espana","12479481","12.479481","modelizado","Modelo propio con INE Proyecciones de Poblacion tabla 36643 y ancla Seguridad Social abril 2026","Pensionistas del ano = pensionistas oficiales abril 2026 * poblacion INE de 67 anos o mas en el ano / poblacion INE de 67 anos o mas en 2026. Se usa 67 anos como edad ordinaria plena bajo la normativa vigente desde 2027.","Proxy demografica calibrada; no es una prevision oficial de Seguridad Social ni sustituye a eSTADISS.","67","12107952","1.03068471","Incluye implicitamente, por calibracion, pensionistas por incapacidad, viudedad, orfandad y favor familiar; no modela carreras de cotizacion, jubilacion anticipada/demorada, mortalidad diferencial ni cambios normativos futuros."
