"ano","variable_id","candidato_millones_eur","serie_moderna_millones_eur","diferencia_candidato_menos_moderna_millones_eur","diferencia_pct_sobre_moderna","validacion","notas"
"2005","otros_ingresos","2582,15","2465,6115","116,5385","4,7266","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2005","total_neto_consolidado","95713,59","95268,1706","445,4194","0,4675","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2006","cotizaciones_sociales","95791,23","95401,9481","389,2819","0,408","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2006","transferencias_corrientes","5313,46","5313,4588","0,0012","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2006","otros_ingresos","3349,53","3161,7906","187,7394","5,9378","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2006","total_neto_consolidado","104454,22","103877,1975","577,0225","0,5555","diferencia_relevante","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2007","cotizaciones_sociales","103295,13","103263,1335","31,9965","0,031","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2007","transferencias_corrientes","6006,39","6006,3974","-0,0074","-0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2007","otros_ingresos","4198,23","3466,3272","731,9028","21,1146","diferencia_relevante","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2007","total_neto_consolidado","113499,75","112735,858","763,892","0,6776","diferencia_relevante","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
