"year","indicator","cofog_components","nominal_million_eur","real_2024_million_eur","pct_total_public_spending","pct_social_protection","real_2024_eur_per_capita","total_public_spending_million_eur","social_protection_total_million_eur","population_1_jan","cpi_base_year","source","caveat"
"2006","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","79636","113720.525","20.644084","62.557738","2583.97","385757","127300","44009969","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2007","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","85327","118543.96","20.211813","61.779676","2646.98","422164","138115","44784659","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2008","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","90758","121151.469","19.738024","59.262403","2652.82","459813","153146","45668938","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2009","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","97132","130034.437","19.648308","56.228219","2812.21","494353","172746","46239271","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2010","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","102644","134984.088","20.785838","57.11011","2903.72","493817","179730","46486621","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2011","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","107245","136666.73","21.846252","59.318893","2928.54","490908","180794","46667175","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2012","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","111702","138947.863","21.905102","60.785573","2967.82","509936","183764","46818216","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2013","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","116703","143152.079","24.652195","62.95577","3064.52","473398","185373","46712650","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2014","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","120329","147822.956","25.720063","64.922683","3179.28","467841","185342","46495744","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2015","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","124169","153307.397","26.146732","67.050965","3302.21","474893","185186","46425722","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2016","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","128125","158513.081","27.103954","67.655337","3414.84","472717","189379","46418884","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2017","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","132499","160780.019","27.60925","68.344251","3457.83","479908","193870","46497393","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2018","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","139377","166339.236","27.698517","68.500025","3566.06","503193","203470","46645070","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2019","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","146982","174197.306","27.902553","67.817084","3712.73","526769","216733","46918951","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2020","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","151513","180148.365","26.115547","61.230981","3807.18","580164","247445","47318050","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2021","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","159378","183814.349","26.079486","64.091913","3877.87","611124","248671","47400798","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2022","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","168359","179141.613","26.425131","66.779712","3772.46","637117","252111","47486727","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2023","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","186684","191862.745","27.444449","67.31548","3990.04","680225","277327","48085361","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2024","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","200475","200475","27.651686","67.379307","4123.33","725001","297532","48619695","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
