"ano","variable","etiqueta","valor_millones_eur","valor_pct_pib","unidad_principal","estado_dato","fuente","definicion","nota"
"1976","gasto_publico_total","Gasto publico total","11127.044944","23.173443","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1976","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1976","intereses_deuda","Intereses de la deuda","193.804166","0.403621","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1976","pib","PIB","48016.365611","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1977","deficit_saldo_publico","Deficit o saldo publico","-718.275576","-1.178945","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1977","deuda_publica_total","Deuda publica total","8145.972025","13.370428","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1977","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1977","gasto_publico_total","Gasto publico total","15492.263772","25.428298","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1977","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1977","intereses_deuda","Intereses de la deuda","281.803157","0.462539","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1977","pib","PIB","60925.288788","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1978","deficit_saldo_publico","Deficit o saldo publico","-2199.302826","-2.949259","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1978","deuda_publica_total","Deuda publica total","11111.237969","14.900137","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1978","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1978","gasto_publico_total","Gasto publico total","20742.817905","27.816057","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1978","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1978","intereses_deuda","Intereses de la deuda","372.867309","0.500014","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1978","pib","PIB","74571.381955","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1979","deficit_saldo_publico","Deficit o saldo publico","-2480.749582","-2.843816","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1979","deuda_publica_total","Deuda publica total","14260.64171","16.347735","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1979","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1979","gasto_publico_total","Gasto publico total","26122.576419","29.945705","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1979","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1979","intereses_deuda","Intereses de la deuda","490.365776","0.562132","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1979","pib","PIB","87233.132444","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1980","deficit_saldo_publico","Deficit o saldo publico","-4444.568654","-4.434363","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1980","deuda_publica_total","Deuda publica total","18351.476677","18.309339","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1980","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1980","gasto_publico_total","Gasto publico total","33368.324258","33.291707","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1980","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1980","intereses_deuda","Intereses de la deuda","653.282127","0.651782","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1980","pib","PIB","100230.140421","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1981","deficit_saldo_publico","Deficit o saldo publico","-7460.78396","-6.63452","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1981","deuda_publica_total","Deuda publica total","25085.696034","22.307514","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1981","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1981","gasto_publico_total","Gasto publico total","41216.442489","36.651818","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1981","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1981","intereses_deuda","Intereses de la deuda","814.677918","0.724454","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1981","pib","PIB","112454.02062","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1982","deficit_saldo_publico","Deficit o saldo publico","-12697.738992","-9.818806","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1982","deuda_publica_total","Deuda publica total","34218.197903","26.459975","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1982","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1982","gasto_publico_total","Gasto publico total","52134.344236","40.314029","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1982","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1982","intereses_deuda","Intereses de la deuda","1144.669624","0.885141","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1982","pib","PIB","129320.599276","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1983","deficit_saldo_publico","Deficit o saldo publico","-10549.186831","-7.163721","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1983","deuda_publica_total","Deuda publica total","46075.254719","31.288692","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1983","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1983","gasto_publico_total","Gasto publico total","60588.000192","41.143978","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1983","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1983","intereses_deuda","Intereses de la deuda","1745.28506","1.185185","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1983","pib","PIB","147258.489012","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1984","deficit_saldo_publico","Deficit o saldo publico","-12984.415756","-7.813741","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1984","deuda_publica_total","Deuda publica total","61352.130423","36.920388","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1984","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1984","gasto_publico_total","Gasto publico total","70473.321073","42.409324","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1984","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1984","intereses_deuda","Intereses de la deuda","3061.104901","1.842107","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1984","pib","PIB","166174.12095","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1985","deficit_saldo_publico","Deficit o saldo publico","-17335.791473","-9.388712","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1985","deuda_publica_total","Deuda publica total","75319.043015","40.791263","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1985","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1985","gasto_publico_total","Gasto publico total","82913.568449","44.904304","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1985","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1985","intereses_deuda","Intereses de la deuda","5832.67222","3.158857","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1985","pib","PIB","184645.037886","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1986","deficit_saldo_publico","Deficit o saldo publico","-20686.373854","-9.786077","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1986","deuda_publica_total","Deuda publica total","87672.155956","41.474958","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1986","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1986","gasto_publico_total","Gasto publico total","95762.984867","45.302476","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1986","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1986","intereses_deuda","Intereses de la deuda","7683.765461","3.634949","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1986","pib","PIB","211385.761449","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1987","deficit_saldo_publico","Deficit o saldo publico","-25348.623081","-10.723808","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1987","deuda_publica_total","Deuda publica total","96806.84431","40.954416","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1987","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1987","gasto_publico_total","Gasto publico total","111828.597358","47.309412","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1987","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1987","intereses_deuda","Intereses de la deuda","7547.864604","3.193146","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1987","pib","PIB","236377.062405","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1988","deficit_saldo_publico","Deficit o saldo publico","-28993.599221","-11.01731","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1988","deuda_publica_total","Deuda publica total","99769.731223","37.911612","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1988","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1988","gasto_publico_total","Gasto publico total","125450.83721","47.670204","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1988","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1988","intereses_deuda","Intereses de la deuda","8068.49735","3.065957","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1988","pib","PIB","263164.044739","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1989","deficit_saldo_publico","Deficit o saldo publico","-31825.033356","-10.792279","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1989","deuda_publica_total","Deuda publica total","116009.843732","39.340434","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1989","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1989","gasto_publico_total","Gasto publico total","145838.718402","49.45579","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1989","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
