"ano","variable","valor_millones_eur","valor_pct_pib","estado_dato","fuente","metodologia"
"2029","intereses_deuda","54652.471897","2.9","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2029","pib","1884567.996463","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2030","deficit_saldo_publico","-59607.354319","-3.075","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2030","gasto_publico_total","874241.196675","45.1","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2030","intereses_deuda","57507.366226","2.966667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2030","pib","1938450.546951","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2031","deficit_saldo_publico","-64729.759126","-3.25","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2031","gasto_publico_total","904224.942864","45.4","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2031","intereses_deuda","60414.441851","3.033333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2031","pib","1991684.896175","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2032","deficit_saldo_publico","-70030.317505","-3.425","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2032","gasto_publico_total","934419.127003","45.7","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2032","intereses_deuda","63385.104895","3.1","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2032","pib","2044680.80307","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2033","deficit_saldo_publico","-75641.832084","-3.6","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2033","gasto_publico_total","966534.521076","46","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2033","intereses_deuda","66536.796741","3.166667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2033","pib","2101162.00234","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2034","deficit_saldo_publico","-81613.568302","-3.775","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2034","gasto_publico_total","1000982.307912","46.3","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2034","intereses_deuda","69903.012144","3.233333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2034","pib","2161948.829184","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2035","deficit_saldo_publico","-87992.343236","-3.95","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2035","gasto_publico_total","1038086.884756","46.6","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2035","intereses_deuda","73512.590551","3.3","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2035","pib","2227654.259133","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2036","deficit_saldo_publico","-94831.081921","-4.125","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2036","gasto_publico_total","1078200.664755","46.9","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2036","intereses_deuda","77397.489083","3.366667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2036","pib","2298935.319306","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2037","deficit_saldo_publico","-102189.803252","-4.3","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2037","gasto_publico_total","1121711.328714","47.2","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2037","intereses_deuda","81593.408798","3.433333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2037","pib","2376507.052361","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2038","deficit_saldo_publico","-110027.734211","-4.475","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2038","gasto_publico_total","1167892.150846","47.5","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2038","intereses_deuda","86055.211115","3.5","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2038","pib","2458720.317571","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2039","deficit_saldo_publico","-118398.66417","-4.65","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2039","gasto_publico_total","1217087.343514","47.8","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2039","intereses_deuda","90814.745994","3.566667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2039","pib","2546207.83162","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2040","deficit_saldo_publico","-127368.859273","-4.825","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2040","gasto_publico_total","1269728.939074","48.1","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2040","intereses_deuda","95911.610782","3.633333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2040","pib","2639769.104103","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2041","deficit_saldo_publico","-136732.86734","-5","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2041","gasto_publico_total","1323574.15585","48.4","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2041","intereses_deuda","101182.321832","3.7","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2041","pib","2734657.346798","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2042","deficit_saldo_publico","-147845.10025","-5.222222","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2042","gasto_publico_total","1378419.636801","48.688889","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2042","intereses_deuda","107895.466778","3.811111","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2042","pib","2831076.38777","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2043","deficit_saldo_publico","-159463.883169","-5.444444","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2043","gasto_publico_total","1434524.075525","48.977778","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2043","intereses_deuda","114879.083181","3.922222","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2043","pib","2928928.466363","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2044","deficit_saldo_publico","-171627.280105","-5.666667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2044","gasto_publico_total","1492147.76468","49.266667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2044","intereses_deuda","122158.240546","4.033333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2044","pib","3028716.707741","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2045","deficit_saldo_publico","-184383.268314","-5.888889","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2045","gasto_publico_total","1551602.597509","49.555556","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2045","intereses_deuda","129764.073738","4.144444","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2045","pib","3131036.631745","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2046","deficit_saldo_publico","-197790.226622","-6.111111","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2046","gasto_publico_total","1613249.01205","49.844444","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2046","intereses_deuda","137733.921448","4.255556","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2046","pib","3236567.344727","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2047","deficit_saldo_publico","-211929.114392","-6.333333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2047","gasto_publico_total","1677586.25287","50.133333","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2047","intereses_deuda","146119.547291","4.366667","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2047","pib","3346249.174607","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2048","deficit_saldo_publico","-226866.268324","-6.555556","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2048","gasto_publico_total","1744947.670598","50.422222","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2048","intereses_deuda","154961.196838","4.477778","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2048","pib","3460671.889683","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
